Stövargatan 14,59.2552462,18.0345801,80
Stövargatan 3,59.257087,18.0336891,72
Skedviksvägen 6,59.3355936,18.031624,147
Gamla Huddingevägen 408,59.277192,18.0297495,40
Skedviksvägen 1,59.259751,18.0255536,95
Scheelegatan 22,59.3124673,18.0232006,300
Axbergsgränd 17,59.2611881,18.0230565,121
Hantverkargatan 29,59.2611881,18.0230565,121
Sankt Göransplan 1,59.3341585,18.0215318,175
Drivhjulsvägen 17,59.2942653,18.0194535,180
Skebokvarnsvägen 55,59.3264694,18.0192602,173
Vintrosagatan 13,59.2620678,18.0172146,92
Olshammarsgatan 15,59.2607805,18.0172066,150
Grubbensringen 6,59.3287263,18.016907,170
Skebokvarnsvägen 77,59.2615813,18.0157014,140
Siljansvägen 72,59.2816231,18.0140499,108
Vretensborgsvägen 32,59.2978993,18.0131944,110
Tegelbruksvägen 11,59.3028488,18.0125253,45
Olshammarsgatan 45,59.2604023,18.0124403,84
Siljansvägen 74,59.2604023,18.0124403,84
Övre Bergsvägen 2,59.3025597,18.0121409,25
Sulvägen 48,59.2847105,18.0084315,50
Gävlegatan 12,59.2847105,18.0084315,50
Grosshandlarvägen 7,59.2877109,18.0077088,46
Fridhemsgatan 58,59.3035251,18.0073395,25
Folkparksvägen 85-89,59.2893756,18.0070541,121
Rålambsv-vitalisv,59.3296734,18.0052812,230
Ervallakroken 27,59.304422,18.0018625,60
Rosterigränd 10-14,59.2885665,17.9999168,98
Svarviksslingan 65,59.3398232,17.9917801,180
Tranebergs strand 45-49,59.332292,17.9900326,110
Tranebergsstrand 7,59.332182,17.9867583,120
Dymlingsgränd 10,59.2907475,17.9862006,90
Fyrverkarbacken 36-38,59.2907475,17.9862006,90
Rålamsvägen 12 B,59.3303397,17.9848895,392
Förskottsvägen 13,59.2985876,17.9845279,22
Gösta Ekmans Väg 31-33,59.3031756,17.9839894,204
Hagsätra Torg 44,59.2943209,17.9814744,75
Solbergaängsväg 10,59.3077319,17.980592,180
Gösta Ekmans Väg 5,59.3033195,17.980001,196
Selmedalsvägen 44-46,59.3049728,17.9741623,347
Folkparksvägen 125,59.3034269,17.9703177,30
Tellusborgsvägen 41,59.3467017,17.9663565,150
Fastlagsvägen 2,59.2839454,17.9662586,25
Anna Sandströms Gata 8,59.2878685,17.9659978,76
Kristallvägen 57,59.2878685,17.9659978,76
Bjällervägen 23,59.290049,17.9594504,50
Haukadalsgatan 3,59.400293,17.9594414,180
Vågögatan 6,59.4055965,17.9584517,39
Abrahamsbergsvägen 7B,59.3363109,17.9534163,180
Västertorpsvägen 144,59.2905071,17.9525483,150
Torshamnsgatan 41,59.4089078,17.9509096,120
Isafjordsgatan 21,59.4026249,17.9495691,180
Västertorpsvägen 135,59.2896709,17.9495385,120
Gröna stugans väg 3,59.294778,17.9407912,121
Köpenhamnsgatan 11,59.4021463,17.9407718,170
Gustavslundsvägen 147-151,59.297444,17.9335595,120
Vita Liljans Väg 81,59.2917327,17.9324278,215
Bergengatan 19,59.4068713,17.9286517,350
Trondheimsgat-Edvard Griegsgången,59.4084285,17.9277905,500
Mellanbergsvägen 103,59.3876211,17.9273157,98
Selmedalsringen 19,59.3736891,17.9271279,60
Hjortsbergsvägen 56,59.2866103,17.9255664,68
Oslogatan 44,59.4070135,17.9240879,350
Rinkebystråket 13,59.3861694,17.9232164,193
Sibeliusgången,59.4137575,17.9178191,500
Voltavägen 17,59.4137575,17.9178191,500
Sibeliusgången 20 A,59.414187,17.9173088,200
Ellen Keys Gata 87,59.414187,17.9173088,200
Saimagatan 13,59.4163235,17.9171912,154
Fältvägen 20,59.38064,17.9164201,50
Krällingegränd 23,59.3951646,17.9143108,200
Ålgrytevägen 97,59.3951646,17.9143108,200
Ljungbyplan 25,59.4161654,17.9130166,172
Mamrevägen 21,59.3316729,17.9129618,40
Winqvists Väg 16,59.3802695,17.9114734,85
Tyska Bottens Väg 40,59.3313913,17.9104554,34
Eksätravägen 390,59.3313913,17.9104554,34
Sveaborgsgatan 24,59.3958328,17.9099522,156
Äspholmsvägen 44,59.277418,17.9092098,145
Backskåran 12,59.2779392,17.9090801,168
Risingeplan 17,59.2746515,17.9081322,300
Ekholmsvägen 250,59.2796651,17.9050633,230
Äspholmsvägen 39,59.2730638,17.9040744,190
Storholmsgatan 19,59.277846,17.9002295,185
Ekholmsvägen 41-43,59.2760927,17.8996668,57
Brantholmsgränd 32,59.2771359,17.8980345,135
Ekholmsvägen 237,59.3612875,17.896056,275
Idholmsvägen 152,59.3945594,17.8956737,41
Stadingeplan 7,59.3922714,17.8952996,200
Råckstavägen 98,59.3633949,17.8936236,240
Råckstavägen 100,59.3637636,17.8898768,341
Söderberga Gårdsväg 33,59.3637636,17.8898768,341
Drachmannsgatan 22,59.3458963,17.8891831,87
Husingeplan 22,59.3431671,17.8880642,19
Porthansvägen 7,59.3470942,17.8874425,85
Sigrid Undsets Gata 3,59.2735667,17.8852993,72
Gränsholmsbacken 16,59.2780653,17.8847202,82
Vårholmsbackarna 64,59.3489644,17.8843825,120
Wergelandsgatan 32,59.3558479,17.8829753,102
Håsjögränd 2,59.3714147,17.8828365,55
Björnsongatan 337 A,59.3508469,17.8817566,60
Rättar Vigs Väg 111,59.3496251,17.8802175,27
Ibsengatan 47,59.3540523,17.8792109,70
Nickelgränd 8,59.3450714,17.8789198,22
Björnsonsgatan 185,59.3634608,17.8786813,48
Vällingbyvägen 139,59.3485819,17.8781756,74
Årevägen 17,59.3606893,17.8737681,142
Elias Lönnrots Väg 15,59.3624153,17.8717956,200
Kirunagatan 22-28,59.3651082,17.8668262,140
Vällingby Torg 29,59.3626096,17.8597296,110
